"Id","Name","SetupEntityAccessItems"
"01pd00000048764AAA","apiSSC_MyASUCoachController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003ww7LQAQ","apiSSC_MyASUCoachControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd00000048766AAA","apiSSC_MyASUCoachesController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003ww7MQAQ","apiSSC_MyASUCoachesControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd00000048768AAA","apiSSC_MyCoachController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003ww7NQAQ","apiSSC_MyCoachControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p0W000004AYgOQAW","ASUBrandHeaderController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003TGb7QAG","ASUBrandUtilities","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd000000482kuAAA","AttachmentDispatcher","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p0W000003jH9bQAE","AttachmentFactory","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd000000482kvAAA","AttachmentService","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003ww6JQAQ","AttachmentServiceTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003ww6KQAQ","AttachmentTriggerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
